CBSA,NAME,POPESTIMATE2017
10180,"Abilene, TX",170219
10420,"Akron, OH",703505
10500,"Albany, GA",151434
10540,"Albany, OR",125047
10580,"Albany-Schenectady-Troy, NY",886188
10740,"Albuquerque, NM",910726
10780,"Alexandria, LA",153984
10900,"Allentown-Bethlehem-Easton, PA-NJ",840550
11020,"Altoona, PA",123457
11100,"Amarillo, TX",264925
11180,"Ames, IA",97502
11260,"Anchorage, AK",400888
11460,"Ann Arbor, MI",367627
11500,"Anniston-Oxford-Jacksonville, AL",114728
11540,"Appleton, WI",236126
11700,"Asheville, NC",456145
12020,"Athens-Clarke County, GA",209271
12060,"Atlanta-Sandy Springs-Roswell, GA",5884736
12100,"Atlantic City-Hammonton, NJ",269918
12220,"Auburn-Opelika, AL",161604
12260,"Augusta-Richmond County, GA-SC",600151
12420,"Austin-Round Rock, TX",2115827
12540,"Bakersfield, CA",893119
12580,"Baltimore-Columbia-Towson, MD",2808175
12620,"Bangor, ME",151957
12700,"Barnstable Town, MA",213444
12940,"Baton Rouge, LA",834159
12980,"Battle Creek, MI",134128
13020,"Bay City, MI",104239
13140,"Beaumont-Port Arthur, TX",412437
13220,"Beckley, WV",118543
13380,"Bellingham, WA",221404
13460,"Bend-Redmond, OR",186875
13740,"Billings, MT",170498
13780,"Binghamton, NY",242217
13820,"Birmingham-Hoover, AL",1149807
13900,"Bismarck, ND",132142
13980,"Blacksburg-Christiansburg-Radford, VA",182993
14010,"Bloomington, IL",188232
14020,"Bloomington, IN",167825
14100,"Bloomsburg-Berwick, PA",84204
14260,"Boise City, ID",709845
14460,"Boston-Cambridge-Newton, MA-NH",4836531
14500,"Boulder, CO",322514
14540,"Bowling Green, KY",174835
14740,"Bremerton-Silverdale, WA",266414
14860,"Bridgeport-Stamford-Norwalk, CT",949921
15180,"Brownsville-Harlingen, TX",423725
15260,"Brunswick, GA",118119
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1136856
15500,"Burlington, NC",162391
15540,"Burlington-South Burlington, VT",218395
15680,"California-Lexington Park, MD",112667
15940,"Canton-Massillon, OH",399927
15980,"Cape Coral-Fort Myers, FL",739224
16020,"Cape Girardeau, MO-IL",96782
16060,"Carbondale-Marion, IL",125612
16180,"Carson City, NV",54745
16220,"Casper, WY",79547
16300,"Cedar Rapids, IA",270293
16540,"Chambersburg-Waynesboro, PA",154234
16580,"Champaign-Urbana, IL",239124
16620,"Charleston, WV",214406
16700,"Charleston-North Charleston, SC",775831
16740,"Charlotte-Concord-Gastonia, NC-SC",2525305
16820,"Charlottesville, VA",233793
16860,"Chattanooga, TN-GA",556548
16940,"Cheyenne, WY",98327
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9533040
17020,"Chico, CA",229294
17140,"Cincinnati, OH-KY-IN",2179082
17300,"Clarksville, TN-KY",285042
17420,"Cleveland, TN",122317
17460,"Cleveland-Elyria, OH",2058844
17660,"Coeur d'Alene, ID",157637
17780,"College Station-Bryan, TX",258044
17820,"Colorado Springs, CO",723878
17860,"Columbia, MO",178271
17900,"Columbia, SC",825033
17980,"Columbus, GA-AL",303811
18020,"Columbus, IN",82040
18140,"Columbus, OH",2078725
18580,"Corpus Christi, TX",454008
18700,"Corvallis, OR",90951
18880,"Crestview-Fort Walton Beach-Destin, FL",271346
19060,"Cumberland, MD-WV",98837
19100,"Dallas-Fort Worth-Arlington, TX",7399662
19140,"Dalton, GA",144440
19180,"Danville, IL",77909
19300,"Daphne-Fairhope-Foley, AL",212628
19340,"Davenport-Moline-Rock Island, IA-IL",382263
19380,"Dayton, OH",803416
19460,"Decatur, AL",151867
19500,"Decatur, IL",105801
19660,"Deltona-Daytona Beach-Ormond Beach, FL",649202
19740,"Denver-Aurora-Lakewood, CO",2888227
19780,"Des Moines-West Des Moines, IA",645911
19820,"Detroit-Warren-Dearborn, MI",4313002
20020,"Dothan, AL",147914
20100,"Dover, DE",176824
20220,"Dubuque, IA",97041
20260,"Duluth, MN-WI",278782
20500,"Durham-Chapel Hill, NC",567428
20700,"East Stroudsburg, PA",168046
20740,"Eau Claire, WI",167484
20940,"El Centro, CA",182830
21060,"Elizabethtown-Fort Knox, KY",150430
21140,"Elkhart-Goshen, IN",205032
21300,"Elmira, NY",85557
21340,"El Paso, TX",844818
21420,"Enid, OK",61581
21500,"Erie, PA",274541
21660,"Eugene, OR",374748
21780,"Evansville, IN-KY",315669
21820,"Fairbanks, AK",99703
22020,"Fargo, ND-MN",241356
22140,"Farmington, NM",126926
22180,"Fayetteville, NC",386662
22220,"Fayetteville-Springdale-Rogers, AR-MO",537463
22380,"Flagstaff, AZ",140776
22420,"Flint, MI",407385
22500,"Florence, SC",205831
22520,"Florence-Muscle Shoals, AL",147038
22540,"Fond du Lac, WI",102548
22660,"Fort Collins, CO",343976
22900,"Fort Smith, AR-OK",282086
23060,"Fort Wayne, IN",434617
23420,"Fresno, CA",989255
23460,"Gadsden, AL",102755
23540,"Gainesville, FL",284687
23580,"Gainesville, GA",199335
23900,"Gettysburg, PA",102336
24020,"Glens Falls, NY",126152
24140,"Goldsboro, NC",124172
24220,"Grand Forks, ND-MN",102414
24260,"Grand Island, NE",85045
24300,"Grand Junction, CO",151616
24340,"Grand Rapids-Wyoming, MI",1059113
24420,"Grants Pass, OR",86352
24500,"Great Falls, MT",81654
24540,"Greeley, CO",304633
24580,"Green Bay, WI",320050
24660,"Greensboro-High Point, NC",761184
24780,"Greenville, NC",179042
24860,"Greenville-Anderson-Mauldin, SC",895923
25060,"Gulfport-Biloxi-Pascagoula, MS",394232
25180,"Hagerstown-Martinsburg, MD-WV",265498
25220,"Hammond, LA",132497
25260,"Hanford-Corcoran, CA",150101
25420,"Harrisburg-Carlisle, PA",571903
25500,"Harrisonburg, VA",134442
25540,"Hartford-West Hartford-East Hartford, CT",1210259
25620,"Hattiesburg, MS",148877
25860,"Hickory-Lenoir-Morganton, NC",366534
25940,"Hilton Head Island-Bluffton-Beaufort, SC",215302
25980,"Hinesville, GA",80400
26140,"Homosassa Springs, FL",145647
26300,"Hot Springs, AR",98658
26380,"Houma-Thibodaux, LA",210512
26420,"Houston-The Woodlands-Sugar Land, TX",6892427
26580,"Huntington-Ashland, WV-KY-OH",356474
26620,"Huntsville, AL",455448
26820,"Idaho Falls, ID",145643
26900,"Indianapolis-Carmel-Anderson, IN",2028614
26980,"Iowa City, IA",171491
27060,"Ithaca, NY",104802
27100,"Jackson, MI",158640
27140,"Jackson, MS",578715
27180,"Jackson, TN",129235
27260,"Jacksonville, FL",1504980
27340,"Jacksonville, NC",193893
27500,"Janesville-Beloit, WI",162309
27620,"Jefferson City, MO",151465
27740,"Johnson City, TN",202053
27780,"Johnstown, PA",133054
27860,"Jonesboro, AR",131269
27900,"Joplin, MO",178507
27980,"Kahului-Wailuku-Lahaina, HI",166348
28020,"Kalamazoo-Portage, MI",338338
28100,"Kankakee, IL",109605
28140,"Kansas City, MO-KS",2128912
28420,"Kennewick-Richland, WA",290296
28660,"Killeen-Temple, TX",443773
28700,"Kingsport-Bristol-Bristol, TN-VA",306659
28740,"Kingston, NY",179417
28940,"Knoxville, TN",877104
29020,"Kokomo, IN",82363
29100,"La Crosse-Onalaska, WI-MN",136934
29180,"Lafayette, LA",491558
29200,"Lafayette-West Lafayette, IN",219239
29340,"Lake Charles, LA",209357
29420,"Lake Havasu City-Kingman, AZ",207200
29460,"Lakeland-Winter Haven, FL",686483
29540,"Lancaster, PA",542903
29620,"Lansing-East Lansing, MI",477656
29700,"Laredo, TX",274794
29740,"Las Cruces, NM",215579
29820,"Las Vegas-Henderson-Paradise, NV",2204079
29940,"Lawrence, KS",120793
30020,"Lawton, OK",127349
30140,"Lebanon, PA",139754
30300,"Lewiston, ID-WA",62920
30340,"Lewiston-Auburn, ME",107651
30460,"Lexington-Fayette, KY",512650
30620,"Lima, OH",103198
30700,"Lincoln, NE",331519
30780,"Little Rock-North Little Rock-Conway, AR",738344
30860,"Logan, UT-ID",138002
30980,"Longview, TX",217481
31020,"Longview, WA",106910
31080,"Los Angeles-Long Beach-Anaheim, CA",13353907
31140,"Louisville/Jefferson County, KY-IN",1293953
31180,"Lubbock, TX",316983
31340,"Lynchburg, VA",261254
31420,"Macon-Bibb County, GA",228914
31460,"Madera, CA",156890
31540,"Madison, WI",654230
31700,"Manchester-Nashua, NH",409697
31740,"Manhattan, KS",98080
31860,"Mankato-North Mankato, MN",100939
31900,"Mansfield, OH",120589
32580,"McAllen-Edinburg-Mission, TX",860661
32780,"Medford, OR",217479
32820,"Memphis, TN-MS-AR",1348260
32900,"Merced, CA",272673
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6158824
33140,"Michigan City-La Porte, IN",110029
33220,"Midland, MI",83411
33260,"Midland, TX",170675
33340,"Milwaukee-Waukesha-West Allis, WI",1576236
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3600618
33540,"Missoula, MT",117441
33660,"Mobile, AL",413955
33700,"Modesto, CA",547899
33740,"Monroe, LA",178445
33780,"Monroe, MI",149649
33860,"Montgomery, AL",373903
34060,"Morgantown, WV",138709
34100,"Morristown, TN",118081
34580,"Mount Vernon-Anacortes, WA",125619
34620,"Muncie, IN",115184
34740,"Muskegon, MI",173693
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",464165
34900,"Napa, CA",140973
34940,"Naples-Immokalee-Marco Island, FL",372880
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1903045
35100,"New Bern, NC",124864
35300,"New Haven-Milford, CT",860435
35380,"New Orleans-Metairie, LA",1275762
35620,"New York-Newark-Jersey City, NY-NJ-PA",20320876
35660,"Niles-Benton Harbor, MI",154259
35840,"North Port-Sarasota-Bradenton, FL",804690
35980,"Norwich-New London, CT",269033
36100,"Ocala, FL",354353
36140,"Ocean City, NJ",93553
36220,"Odessa, TX",157087
36260,"Ogden-Clearfield, UT",665358
36420,"Oklahoma City, OK",1383737
36500,"Olympia-Tumwater, WA",280588
36540,"Omaha-Council Bluffs, NE-IA",933316
36740,"Orlando-Kissimmee-Sanford, FL",2509831
36780,"Oshkosh-Neenah, WI",170414
36980,"Owensboro, KY",118376
37100,"Oxnard-Thousand Oaks-Ventura, CA",854223
37340,"Palm Bay-Melbourne-Titusville, FL",589162
37460,"Panama City, FL",199723
37620,"Parkersburg-Vienna, WV",90898
37860,"Pensacola-Ferry Pass-Brent, FL",487784
37900,"Peoria, IL",372427
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6096120
38060,"Phoenix-Mesa-Scottsdale, AZ",4737270
38220,"Pine Bluff, AR",90963
38300,"Pittsburgh, PA",2333367
38340,"Pittsfield, MA",126313
38540,"Pocatello, ID",85269
38860,"Portland-South Portland, ME",532083
38900,"Portland-Vancouver-Hillsboro, OR-WA",2453168
38940,"Port St. Lucie, FL",473429
39140,"Prescott, AZ",228168
39300,"Providence-Warwick, RI-MA",1621122
39340,"Provo-Orem, UT",617675
39380,"Pueblo, CO",166475
39460,"Punta Gorda, FL",182033
39540,"Racine, WI",196071
39580,"Raleigh, NC",1335079
39660,"Rapid City, SD",146850
39740,"Reading, PA",417854
39820,"Redding, CA",179921
39900,"Reno, NV",464593
40060,"Richmond, VA",1294204
40140,"Riverside-San Bernardino-Ontario, CA",4580670
40220,"Roanoke, VA",314128
40340,"Rochester, MN",218280
40380,"Rochester, NY",1077948
40420,"Rockford, IL",338291
40580,"Rocky Mount, NC",146738
40660,"Rome, GA",97613
40900,"Sacramento--Roseville--Arden-Arcade, CA",2324884
40980,"Saginaw, MI",191934
41060,"St. Cloud, MN",197759
41100,"St. George, UT",165662
41140,"St. Joseph, MO-KS",126935
41180,"St. Louis, MO-IL",2807338
41420,"Salem, OR",424982
41500,"Salinas, CA",437907
41540,"Salisbury, MD-DE",405853
41620,"Salt Lake City, UT",1203105
41660,"San Angelo, TX",119535
41700,"San Antonio-New Braunfels, TX",2473974
41740,"San Diego-Carlsbad, CA",3337685
41860,"San Francisco-Oakland-Hayward, CA",4727357
41940,"San Jose-Sunnyvale-Santa Clara, CA",1998463
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",283405
42100,"Santa Cruz-Watsonville, CA",275897
42140,"Santa Fe, NM",148750
42200,"Santa Maria-Santa Barbara, CA",448150
42220,"Santa Rosa, CA",504217
42340,"Savannah, GA",387543
42540,"Scranton--Wilkes-Barre--Hazleton, PA",555426
42660,"Seattle-Tacoma-Bellevue, WA",3867046
42680,"Sebastian-Vero Beach, FL",154383
42700,"Sebring, FL",102883
43100,"Sheboygan, WI",115344
43300,"Sherman-Denison, TX",131140
43340,"Shreveport-Bossier City, LA",440933
43420,"Sierra Vista-Douglas, AZ",124756
43580,"Sioux City, IA-NE-SD",168618
43620,"Sioux Falls, SD",259094
43780,"South Bend-Mishawaka, IN-MI",321815
43900,"Spartanburg, SC",334391
44060,"Spokane-Spokane Valley, WA",564236
44100,"Springfield, IL",208697
44140,"Springfield, MA",631652
44180,"Springfield, MO",462369
44220,"Springfield, OH",134557
44300,"State College, PA",162660
44420,"Staunton-Waynesboro, VA",121999
44700,"Stockton-Lodi, CA",745424
44940,"Sumter, SC",106847
45060,"Syracuse, NY",654841
45220,"Tallahassee, FL",382627
45300,"Tampa-St. Petersburg-Clearwater, FL",3091399
45460,"Terre Haute, IN",169965
45500,"Texarkana, TX-AR",150355
45540,"The Villages, FL",125165
45780,"Toledo, OH",603668
45820,"Topeka, KS",233149
45940,"Trenton, NJ",374733
46060,"Tucson, AZ",1022769
46140,"Tulsa, OK",990706
46220,"Tuscaloosa, AL",242799
46340,"Tyler, TX",227727
46520,"Urban Honolulu, HI",988650
46540,"Utica-Rome, NY",293572
46660,"Valdosta, GA",145437
46700,"Vallejo-Fairfield, CA",445458
47020,"Victoria, TX",99646
47220,"Vineland-Bridgeton, NJ",152538
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1725246
47300,"Visalia-Porterville, CA",464493
47380,"Waco, TX",268696
47460,"Walla Walla, WA",64614
47580,"Warner Robins, GA",191779
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6216589
47940,"Waterloo-Cedar Falls, IA",169892
48060,"Watertown-Fort Drum, NY",114187
48140,"Wausau, WI",135732
48260,"Weirton-Steubenville, WV-OH",118250
48300,"Wenatchee, WA",118478
48540,"Wheeling, WV-OH",141254
48620,"Wichita, KS",645628
48660,"Wichita Falls, TX",151230
48700,"Williamsport, PA",113841
48900,"Wilmington, NC",288156
49020,"Winchester, VA-WV",137887
49180,"Winston-Salem, NC",667733
49340,"Worcester, MA-CT",942475
49420,"Yakima, WA",250193
49620,"York-Hanover, PA",446078
49660,"Youngstown-Warren-Boardman, OH-PA",541926
49700,"Yuba City, CA",173679
49740,"Yuma, AZ",207534